C;Si;Mn;P;S;MG;Cr;Ni;Mo;Cu;Al;ZugfestigIst;DehnungIst;Dehngr02Ist
3,54;2,43;0,122;0,029;0,008;0,051;0,03;0,015;0,001;0,085;0,018;422,4;25,5;285,7
3,6;2,5;0,102;0,028;0,0065;0,042;0,024;0,012;0,001;0,074;0,02;422,5;18,7;289,5
3,66;2,05;0,111;0,029;0,0093;0,047;0,018;0,008;0,001;0,051;0,017;422,8;21,4;272,4
3,46;2,33;0,139;0,031;0,0092;0,041;0,027;0,014;0,001;0,07;0,017;423;20,5;285,2
3,53;2,48;0,122;0,027;0,0076;0,043;0,025;0,013;0,001;0,096;0,017;423;24,6;293,9
3,57;2,41;0,12;0,029;0,0106;0,044;0,029;0,016;0,001;0,098;0,02;423,6;21,3;289,4
3,57;2,41;0,12;0,029;0,0106;0,044;0,029;0,016;0,001;0,098;0,02;423,6;21,3;289,4
3,48;2,45;0,12;0,026;0,0083;0,039;0,023;0,012;0,001;0,094;0,017;424,2;23,8;301,2
3,52;2,36;0,109;0,029;0,01;0,047;0,023;0,013;0,001;0,066;0,018;424,3;24,6;290,5
3,47;2,46;0,11;0,025;0,0075;0,037;0,02;0,008;0,001;0,068;0,016;424,4;22,3;289,4
3,5;2,46;0,105;0,026;0,0074;0,043;0,02;0,007;0,001;0,046;0,017;425;21,9;293,1
3,47;2,15;0,097;0,028;0,0088;0,036;0,019;0,017;0,002;0,074;0,018;425,3;21,8;287,8
3,47;2,47;0,113;0,029;0,0083;0,049;0,027;0,015;0,001;0,066;0,023;425,4;16,6;266
3,55;2,34;0,123;0,028;0,0097;0,05;0,023;0,013;0,001;0,076;0,016;425,6;23;290,2
3,56;2,52;0,099;0,029;0,0096;0,047;0,022;0,01;0,001;0,067;0,023;425,7;22,6;292,5
3,61;2,27;0,093;0,029;0,0099;0,043;0,027;0,014;0,001;0,059;0,027;425,7;24;291,7
3,46;2,44;0,097;0,029;0,0088;0,039;0,017;0,016;0,002;0,059;0,016;425,9;22,1;295,4
3,53;2,45;0,095;0,028;0,0092;0,04;0,019;0,011;0,001;0,047;0,017;426,0;23,5;295,0
3,51;2,45;0,091;0,03;0,01;0,05;0,02;0,008;0,001;0,045;0,029;426,0;23,2;291,2
3,54;2,47;0,104;0,028;0,007;0,046;0,026;0,013;0,001;0,076;0,025;426,3;15,7;295,7
3,54;2,52;0,121;0,028;0,0089;0,044;0,022;0,009;0,001;0,099;0,015;427,3;24,2;296,7
3,52;2,44;0,122;0,029;0,0077;0,044;0,029;0,015;0,001;0,093;0,019;427,9;21,9;297,9
